name,lat,lon,weather_description,sys_country,address,city,country,match_address,match_city,match_country
San Fernando,24.544654,-97.669503,nubes,MX,Punta de Alambre,Tamaulipas,Mexico,False,False,False
Santiago Lachiguiri,16.865056,-95.373544,nubes,MX,Progreso,Oaxaca,Mexico,False,False,False
Benemérito de las Américas,16.598421,-90.567124,lluvia ligera,MX,Palestine,Las Cruces,Petén,False,False,False
El Confital,22.946666,-106.354737,nubes,MX,,,,False,False,False
Camalú,30.725353,-117.496653,cielo claro,MX,,,,False,False,False
Guerrero,17.608842,-100.284628,lluvia ligera,MX,Cruz de Ocote,Guerrero,Mexico,False,True,False
Cuetzala del Progreso,18.009447,-99.95929,lluvia ligera,MX,Zacapostepec,Guerrero,Mexico,False,False,False
San Cristóbal,24.951044,-97.098369,nubes,MX,,,,False,False,False
Ciudad Constitución,24.082591,-112.336596,cielo claro,MX,,,,False,False,False
San José del Cabo,22.636524,-108.436285,algo de nubes,MX,,,,False,False,False
Santa Rosalía,27.135763,-112.348266,cielo claro,MX,San Venancio,Baja California Sur,Mexico,False,False,False
Guamúchil,25.244549,-108.679929,nubes,MX,,,,False,False,False
La Manga,29.564292,-111.280969,cielo claro,MX,Chino Alto,Sonora,Mexico,False,False,False
Los Cochitos Palo Verde,29.043267,-110.740458,cielo claro,MX,Cruz,Sonora,Mexico,False,False,False
Imuris,30.734931,-110.91373,cielo claro,MX,Terrenate,Sonora,Mexico,False,False,False
Bahía de Kino,28.999831,-111.859913,cielo claro,MX,La Pradera,Sonora,Mexico,False,False,False
Chontalpa,17.605219,-93.790911,nubes,MX,Francisco Villa,Veracruz,Mexico,False,False,False
Santa Isabel,28.269264,-112.61845,cielo claro,MX,,,,False,False,False
Topolobampo,25.530136,-109.299676,algo de nubes,MX,Santa María,Sinaloa,Mexico,False,False,False
Rodeo,25.034405,-104.699324,muy nuboso,MX,El Porvenir,Durango,Mexico,False,False,False
Mundo Nuevo (Ojo de Agua),19.691564,-94.731511,nubes,MX,,,,False,False,False
Ranas,19.115142,-86.824143,nubes,MX,,,,False,False,False
Huitzilac,19.092922,-99.341347,lluvia ligera,MX,Lagunas de Zempoala,Estado de México,Mexico,False,False,False
Santa Anita,23.277156,-108.883187,muy nuboso,MX,,,,False,False,False
Chiautla de Tapia,18.351506,-98.498484,lluvia ligera,MX,La Parota,Puebla,Mexico,False,False,False
Ixtlán de Juárez,17.460642,-96.63692,nubes,MX,Abejones,Oaxaca,Mexico,False,False,False
Campeche,19.095527,-90.508196,nubes,MX,Carrillo Puerto,Campeche,Mexico,False,True,False
Guadalcázar,22.680046,-100.357364,lluvia moderada,MX,El Oro,San Luis Potosí,Mexico,False,False,False
Benito Juárez,29.911434,-107.827213,nubes dispersas,MX,Ejido Álvaro Obregón,Chihuahua,Mexico,False,False,False
Barra de Tecoanapa,15.702485,-99.009593,nubes dispersas,MX,,,,False,False,False
Guerrero Negro,27.266285,-115.318506,cielo claro,MX,,,,False,False,False
Santa Rosalía,27.519281,-112.229017,cielo claro,MX,Santa María,Baja California Sur,Mexico,False,False,False
Rosarito,31.981683,-117.916966,nubes dispersas,MX,,,,False,False,False
Teocuitatlán de Corona,20.130972,-103.45697,lluvia moderada,MX,San José de Gracia,Jalisco,Mexico,False,False,False
Rodeo,25.228865,-104.896049,muy nuboso,MX,Unión y Progreso,Durango,Mexico,False,False,False
Isla Aguada,18.947026,-91.588514,lluvia ligera,MX,,,,False,False,False
